"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Refined Apricot Kernel Carrier Oil","HBNO inc","Carrier oil",11,747.98,-0.41,-8,739.57,0.73,740.3
"Cassia Essential Oil","HBNO inc","Essential Oil",15,720.28,-16.88,0,703.4,22.34,725.74
"Olive Squalane","essentialnaturaloils.com",,21,689.81,-5.5,0,684.31,41.1,725.41
"Organic Norway Spruce Essential Oil","HBNO inc","essential oil",2,730.5,0,-7,723.5,0,723.5
"Grapefruit Natural Fragrance","essentialnaturaloils.com","Fragrance",4,664.99,-2.5,0,662.49,52.34,714.83
"Synthetic Methyl Salicylate","essentialnaturaloils.com",,6,672,0,0,672,27.95,699.95
"Hinoki Wood Essential Oil","HBNO inc","essential oil",9,703.13,-20.78,0,682.35,6.62,688.97
"Organic Camellia Carrier Oil","HBNO inc","Carrier oil",20,679.97,-18.49,0,661.48,20.93,682.41
"Kashmir Lavender Essential Oil","HBNO inc","Essential Oil",6,705.83,-46.85,0,658.98,14.26,673.24
"German Chamomile Essential Oil","HBNO inc","Essential Oil",14,679.9,-17.9,0,662,5.09,667.09
"2 oz (60 ml) Amber Boston Glass Bottle","essentialnaturaloils.com",,11,660,0,0,660,6.15,666.15
"Coriander Seed Essential Oil","HBNO inc","Essential Oil",16,626,-2.2,0,623.8,28.95,652.75
"Organic Balsam Fir Essential Oil","HBNO inc","essential oil",6,618,0,0,618,3.7,621.7
"Organic Turmeric Essential Oil","HBNO inc","essential oil",20,615.6,-11.31,0,604.29,11.57,615.86
"1 Liter (1000 ml) Aluminium Bottle","essentialnaturaloils.com",,3,598,0,0,598,13.05,611.05
"Organic Black Pepper Essential Oil","HBNO inc","essential oil",20,580.82,-3.98,0,576.84,23.31,600.15
"Organic Thyme Essential Oil","HBNO inc","essential oil",7,609.61,-35.83,0,573.78,24.78,598.56
"Mango Natural Fragrance","HBNO inc","Fragrance",23,589.94,-5,-14.5,570.44,17.25,587.69
"4 oz (120 ml) Amber Glass Bottle (Boston)","essentialnaturaloils.com",,15,576,0,0,576,3.12,579.12
"Organic Pine Needle Essential Oil","HBNO inc","essential oil",11,561.45,-13.58,0,547.87,26.2,574.07
"30 Liter Blue HDPE Jerry Can","essentialnaturaloils.com",,32,542.4,0,0,542.4,28.35,570.75
"Blue Tansy Essential Oil","HBNO inc","essential oil",21,543.81,0,0,543.81,15.29,559.1
"Sandalwood Fragrance","HBNO inc","Fragrance",27,524.88,-5.01,-9.99,509.88,23.71,533.59
"Organic Myrrh Essential Oil","HBNO inc","essential oil",10,505.19,-2.45,0,502.74,22.17,524.91
"Organic Pomegranate Seed Carrier Oil","HBNO inc","Carrier oil",26,545.87,-1.99,-40.99,502.89,21.4,524.29
"Organic Cypress Essential Oil","HBNO inc","essential oil",24,496.29,-3,-15,478.29,22.54,500.83
"Organic Lavender Hydrosol","essentialnaturaloils.com",,20,498.28,-12.64,0,485.64,10.74,496.38
"HBNO™ Angel Migraine Relief","HBNO inc","essential oil",6,518.43,-34.17,0,484.26,2.29,486.55
"Refined Avocado Carrier Oil","HBNO inc","Carrier oil",20,475.97,-0.27,0,475.7,9.4,485.1
"Elemi Essential Oil","HBNO inc","Essential Oil",8,464.92,0,0,464.92,15.51,480.43
"Patchouli Scent","essentialnaturaloils.com","Fragrance",13,494.93,-0.5,-49.99,444.44,12.61,457.05
"French Vanilla Fragrance","HBNO inc","Fragrance",17,439.93,-6,0,433.93,7.64,441.57
"Organic Virgin Neem Carrier Oil","HBNO inc","Carrier oil",18,418,0,0,418,22.47,440.47
"Organic Citronella Essential Oil","HBNO inc","essential oil",13,430,-4.01,0,425.99,8.33,434.32
"Organic Sandalwood Essential Oil","HBNO inc","essential oil",11,726.88,-0.13,-330.99,395.76,27.54,423.3
"Organic Macadamia Nut Carrier Oil","HBNO inc","Carrier oil",16,404.71,-0.99,0,403.72,16.64,420.36
"HBNO™ Angel Rousing","HBNO inc","essential oil",2,418.25,0,0,418.25,0,418.25
"Cognac White Essential Oil","HBNO inc","essential oil",16,399.08,-6.55,0,392.53,21.48,414.01
"Hyssop Essential Oil","HBNO inc","Essential Oil",6,490.8,-19.29,-65,406.51,1.63,408.14
"Organic Moringa Seed Carrier Oil","HBNO inc","Carrier",8,391.97,-4.51,-13.99,373.47,23.87,397.34
"Organic Marjoram Sweet Essential Oil","HBNO inc","essential oil",3,376.33,0,0,376.33,18.61,394.94
"Peru Balsam Essential Oil","HBNO inc","essential oil",11,388.93,-4.42,0,384.51,4.31,388.82
"Tobacco Absolute","HBNO inc","Absolute",6,378.26,0,0,378.26,3.17,381.43
"Fenugreek Seed Carrier Oil","essentialnaturaloils.com",,8,354.95,0,0,354.95,24.09,379.04
"Petitgrain Essential Oil","HBNO inc","essential oil",15,492.81,-3.12,-133.08,356.61,12,368.61
"Vanilla Bean Fragrance","essentialnaturaloils.com",,8,359.97,0,0,359.97,5.32,365.29
"Niaouli Essential Oil","HBNO inc","essential oil",6,381,-2.61,-19,359.39,3.58,362.97
"Geranium Fragrance","essentialnaturaloils.com","Fragrance",9,375,-0.51,-40,334.49,27.1,361.59
"Vanilla Fragrance","HBNO inc","Fragrance",9,359.99,-0.99,-9,350,6.47,356.47
"Basil Sweet Linalool Essential Oil","HBNO inc","essential oil",5,423.79,-19,-55.95,348.84,3.92,352.76
"Bergamot Fragrance","essentialnaturaloils.com","Fragrance",16,309.93,-0.5,0,309.43,18.36,327.79
"Organic Vetiver Essential Oil","HBNO inc","essential oil",7,299,-1.2,0,297.8,14.4,312.2
"Organic Jojoba Carrier Oil – Refined","HBNO inc","Carrier oil",5,308.1,0,0,308.1,0,308.1
"Rosemary Natural Fragrance","essentialnaturaloils.com","Fragrance",3,305,0,0,305,1.5,306.5
"You Glow Girl Facial Serum","HBNO Bulk",,1,275,0,0,275,18.22,293.22
"Jasmine Fragrance","HBNO inc","Fragrance",12,269.95,-2,0,267.95,18.98,286.93
"Organic Chamomile German Essential Oil","HBNO inc","essential oil",14,280.49,-3.99,0,276.5,6.11,282.61
"Palo Santo Scent","HBNO inc","Fragrance",11,264.94,-1.99,0,262.95,19.14,282.09
"Honey Natural Fragrance","HBNO inc","Fragrance",13,269.93,-0.5,-4.5,264.93,16.71,281.64
"Tagetes Marigold Essential Oil","HBNO inc","Essential Oil",9,275.73,0,0,275.73,2.9,278.63
"Organic Clove Leaf Essential Oil","HBNO inc","essential oil",7,372.63,-11.32,-99.21,262.1,10.08,272.18
"2 oz (60 ml) Black Boston Dropper","essentialnaturaloils.com",,1,270,0,0,270,0,270
"Frankincense Fragrance","essentialnaturaloils.com","Fragrance",5,259.99,0,-9.99,250,16.84,266.84
"Tamanu Carrier Oil (Virgin)","HBNO inc","essential oil",4,257.5,-12.12,0,245.38,10.77,256.15
"Organic Ravintsara Essential Oil","HBNO inc","essential oil",4,253,0,0,253,2.48,255.48
"1/3 oz (10 ml) Euro Glass Bottle","essentialnaturaloils.com",,3,253.44,0,0,253.44,0,253.44
"Refined Sesame Seed Carrier Oil","essentialnaturaloils.com",,12,250.53,0,0,250.53,1.14,251.67
"Safflower Carrier Oil (High Oleic)","HBNO inc","Carrier oil",10,248,-0.84,0,247.16,2.89,250.05
"HBNO™ Angel Rose","HBNO inc","essential oil",2,249.95,0,0,249.95,0,249.95
"Holy Basil Essential Oil","HBNO inc","essential oil",2,289.36,-21.94,-35,232.42,16.1,248.52
"Tea Tree Essential Oil (Fair Trade)","HBNO Bulk","Essential oil",1,220,0,0,220,18.98,238.98
"Virgin Apricot Kernel Carrier Oil","HBNO inc","Carrier oil",10,223.99,-0.99,0,223,12.7,235.7
"Lily of the Valley Fragrance Oil","HBNO inc","Fragrance",15,229.96,-2.5,-9.99,217.47,10.05,227.52
"Lemon Essential Oil (Distilled)","essentialnaturaloils.com",,6,225.69,0,0,225.69,0,225.69
"Isopropyl Myristate","HBNO Bulk","Aromatic Chemical",7,219.99,0,0,219.99,5.44,225.43
"Myrrh Fragrance","essentialnaturaloils.com","Fragrance",5,219.96,0,-9.99,209.97,15.05,225.02
"White Jasmine Fragrance","essentialnaturaloils.com","Fragrance",9,209.98,-1,0,208.98,15.11,224.09
"Rose Absolute 3% in Jojoba","HBNO inc","essential oil",1,220.46,0,0,220.46,0,220.46
"You Glow Girl Skin Elixir","HBNO inc","essential oil",10,209.92,-1,0,208.92,5.67,214.59
"Alpha Terpineol","essentialnaturaloils.com",,5,231.98,0,-38,193.98,15.19,209.17
"HBNO™ Angel Stress Relief","HBNO inc","essential oil",7,204.28,-1.21,0,203.07,3.91,206.98
"Linalyl Acetate","HBNO inc","essential oil",5,189.97,-2.01,0,187.96,12.39,200.35
"Amber Fragrance Oil","essentialnaturaloils.com","Fragrance",13,189.93,-2,0,187.93,10.07,198
"Organic Cassia Essential Oil","HBNO inc","essential oil",5,191,0,0,191,2.95,193.95
"Rose Fragrance","HBNO inc","Fragrance",11,194.95,-3,-9.99,181.96,8.87,190.83
