# ----------------------------------------,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
# Pages and screens: Page path and screen class,,,,,,,,
# Account: seo,,,,,,,,
# Property: HBNO.com,,,,,,,,
# ----------------------------------------,,,,,,,,
#,,,,,,,,
# All Users,,,,,,,,
# Start date: 20250201,,,,,,,,
# End date: 20251022,,,,,,,,
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Bounce rate,Event count,Key events,Total revenue
/collections/carrier-oils/products/castor-oil-organic,97,63,1.53968253968253,40.4444444444444,0.0615384615384615,286,0,0
/blogs/news/how-patchouli-oil-works-as-an-insect-repellent,96,87,1.10344827586206,67.5862068965517,0.51063829787234,342,0,0
/products/fir-balsam-essential-oil-organic,96,44,2.18181818181818,40.090909090909,0.185185185185185,360,0,0
/collections/essential-oils/products/lemon-essential-oil,95,44,2.1590909090909,44.2727272727272,0.115384615384615,246,0,0
/products/black-cumin-oil-pulling-cinnamon-bark,95,43,2.20930232558139,34.6511627906976,0.260869565217391,371,0,0
/products/frankincense-fragrance,94,50,1.88,53.8,0.185185185185185,365,0,0
/collections/carrier-oils/products/black-seed-oil-organic,92,50,1.84,58.3,0.137931034482758,247,0,0
/products/ylang-ylang-essential-oil,91,49,1.85714285714285,30.0612244897959,0.290322580645161,289,0,0
/blogs/news/can-clove-oil-kill-bed-bugs,90,73,1.23287671232876,114.383561643835,0.439024390243902,313,0,0
/collections/essential-oils/products/essential-oil-gift-set-8-set,90,78,1.15384615384615,44.5,0.102272727272727,307,0,0
/products/jojoba-oil-refined,90,46,1.95652173913043,30.3260869565217,0.28169014084507,303,0,0
/blogs/news/is-frankincense-essential-oil-safe-for-dogs,83,69,1.20289855072463,38.3623188405797,0.6,282,0,0
/products/mct-oil-pulling-peppermint-organic,81,30,2.7,39.9666666666666,0.323529411764705,281,0,0
/products/turmeric-essential-oil,81,43,1.88372093023255,21.0232558139534,0.307692307692307,244,0,0
/blogs/news/diy-black-seed-oil-mosquito-repellent-a-natural-solution,80,67,1.19402985074626,46.1791044776119,0.532467532467532,278,0,0
/blogs/news/castor-oil-and-mustard-oil-for-hair-benefits-and-growth-tips,78,73,1.06849315068493,38.4931506849315,0.467532467532467,293,0,0
/blogs/news/clove-oil-side-effects-risks-for-gums-teeth-and-skin,77,67,1.14925373134328,46.6567164179104,0.571428571428571,265,0,0
/blogs/news/is-lavender-oil-good-for-burns-how-to-use-for-relief,77,31,2.48387096774193,16.8064516129032,0.384615384615384,204,0,0
/blogs/news/sandalwood-oil-soap-benefits-recipes-and-uses-in-homemade-soap,74,44,1.68181818181818,51.2272727272727,0.6,210,0,0
/products/argan-oil-organic,72,41,1.7560975609756,20.6097560975609,0.208955223880597,267,0,0
/blogs/news/jojoba-oil-for-eyebrow-growth-before-and-after-results,70,64,1.09375,47.5,0.373134328358209,256,0,0
/blogs/news/lemongrass-oil-vs-citronella-oil-what-s-the-difference,70,61,1.14754098360655,65.4098360655737,0.422535211267605,243,0,0
/blogs/news/is-cedarwood-oil-safe-for-cats-flea-control-usage-tips,69,54,1.27777777777777,44.8148148148148,0.46875,231,0,0
/blogs/news/top-essential-oil-brands-for-your-diffuser-best-picks-for-2025,69,62,1.11290322580645,28.6935483870967,0.56060606060606,236,0,0
/products/juniper-berry-fragrance,69,30,2.3,41.3333333333333,0.465116279069767,274,0,0
/products/lemon-organic,69,44,1.56818181818181,35.7954545454545,0.177419354838709,256,0,0
/blogs/news/how-to-make-a-cozy-scented-candle-using-clove-oil,68,55,1.23636363636363,51.2181818181818,0.533333333333333,221,0,0
/blogs/news/patchouli-light-oil-vs-patchouli-dark-oil-benefits-and-uses,67,60,1.11666666666666,55.5,0.478260869565217,253,0,0
/pages/privacy-policy,67,59,1.13559322033898,22.2881355932203,0.26865671641791,185,0,0
/products/juniper-berry-essential-oil,67,29,2.3103448275862,26.8620689655172,0.272727272727272,184,0,0
/collections/essential-oils/products/peppermint,66,52,1.26923076923076,24.4807692307692,0.0535714285714285,232,0,0
/blogs/news/clove-bud-oil-vs-clove-leaf-oil-whats-the-difference,64,62,1.03225806451612,72.0967741935483,0.507246376811594,249,0,0
/blogs/news/sunflower-seed-oil-top-5-non-comedogenic-oils-for-your-skin,64,41,1.56097560975609,28.5365853658536,0.43859649122807,182,0,0
/blogs/news/how-to-dilute-frankincense-oil-for-skin-face-and-pain-relief,63,50,1.26,111.66,0.515625,230,0,0
/blogs/news/black-oil-sunflower-seeds-for-chickens-complete-explanation,61,56,1.08928571428571,47.8214285714285,0.661290322580645,219,0,0
/products/essential-oil-gift-set-8-set,61,53,1.15094339622641,54.9056603773584,0.23728813559322,215,0,0
/blogs/news/do-essential-oils-expire-understanding-their-life,60,53,1.13207547169811,15.7735849056603,0.785714285714285,199,0,0
/blogs/news/jojoba-oil-and-rosemary-oil-best-uses-for-personal-care,60,42,1.42857142857142,59.7380952380952,0.352941176470588,197,0,0
/blogs/news/rosemary-and-tea-tree-oil-a-perfect-blend-for-hair-scalp,60,37,1.62162162162162,35,0.37037037037037,172,0,0
/products/black-cumin-oil-pulling-peppermint-organic,60,30,2,39.3,0.121212121212121,228,0,0
/products/grapefruit-oil-organic,60,41,1.46341463414634,20.4390243902439,0.4,227,0,0
/blogs/news/potential-side-effects-of-tea-tree-oil-on-hair-skin-and-nails,59,44,1.34090909090909,49.4318181818181,0.403846153846153,185,0,0
/products/jojoba-oil-refined-organic-glass,59,43,1.37209302325581,15.2093023255813,0.16,188,0,0
/blogs/news/tea-tree-oil-health-benefits-and-applications,58,37,1.56756756756756,10.3783783783783,0.659090909090909,160,0,0
/blogs/news/turmeric-essential-oil-vs-turmeric-powder-key-difference,58,55,1.05454545454545,41.7636363636363,0.483870967741935,212,0,0
/products/baobab-oil-organic,57,30,1.9,31.9333333333333,0.2,196,0,0
/products/bergamot-essential-oil-organic,57,43,1.32558139534883,1.09302325581395,0.822222222222222,195,0,0
/products/clove-bud-oil-organic,57,37,1.54054054054054,70.7837837837837,0.111111111111111,198,0,0
/products/geranium-fragrance,57,41,1.39024390243902,17.1463414634146,0.352941176470588,213,0,0
/blogs/news/almond-and-avocado-oil-a-perfect-pair-for-everyday-applications,56,47,1.19148936170212,91.2340425531914,0.48,188,0,0
/blogs/news/bergamot-oil-in-tea-health-benefits-uses-and-earl-grey-tips,56,50,1.12,90.16,0.561403508771929,207,0,0
/blogs/news/how-to-use-citronella-oil-in-a-diffuser-for-a-fresh-home,56,45,1.24444444444444,36.2888888888888,0.471698113207547,183,0,0
/blogs/news/jojoba-oil-soap-uses-diy-blends-soap-making-tips,56,41,1.36585365853658,62.8536585365853,0.36,187,0,0
/blogs/news/lavender-oil-and-tea-tree-oil-blend-best-ways-to-use,56,42,1.33333333333333,59.6190476190476,0.326923076923076,187,0,0
/blogs/news/make-your-own-peppermint-oil-a-simple-guide,56,36,1.55555555555555,130.277777777777,0.4,178,0,0
/products/cedarwood-essential-oil-himalayan,56,41,1.36585365853658,27.5365853658536,0.382978723404255,222,0,0
/products/mct-organic,56,32,1.75,23.9375,0.282051282051282,184,0,0
/blogs/news/best-cedarwood-essential-oil-blends-for-sleep-recipe,55,47,1.17021276595744,33.4893617021276,0.490196078431372,184,0,0
